date_time: 12/12/2023 09:04, response_time: 0.089305, up_time: 100%
date_time: 13/12/2023 09:04, response_time: 0.075973, up_time: 100%
date_time: 14/12/2023 09:03, response_time: 0.093860, up_time: 100%
date_time: 15/12/2023 09:04, response_time: 0.117477, up_time: 100%
date_time: 16/12/2023 09:03, response_time: 0.101394, up_time: 100%
date_time: 17/12/2023 09:07, response_time: 0.064984, up_time: 100%
date_time: 18/12/2023 09:04, response_time: 0.081325, up_time: 100%
date_time: 19/12/2023 09:03, response_time: 0.078615, up_time: 100%
date_time: 20/12/2023 08:52, response_time: 0.089049, up_time: 100%
date_time: 21/12/2023 09:02, response_time: 0.120617, up_time: 100%
date_time: 22/12/2023 09:02, response_time: 0.096893, up_time: 100%
date_time: 23/12/2023 09:00, response_time: 0.072102, up_time: 100%
date_time: 24/12/2023 09:06, response_time: 0.084818, up_time: 100%
date_time: 25/12/2023 09:03, response_time: 0.365967, up_time: 100%
date_time: 26/12/2023 09:01, response_time: 0.082000, up_time: 100%
date_time: 27/12/2023 09:01, response_time: 0.079890, up_time: 100%
date_time: 28/12/2023 09:00, response_time: 0.091574, up_time: 100%
date_time: 29/12/2023 08:52, response_time: 0.073605, up_time: 100%
date_time: 30/12/2023 09:00, response_time: 0.070424, up_time: 100%
date_time: 31/12/2023 09:07, response_time: 0.084993, up_time: 100%
date_time: 01/01/2024 09:08, response_time: 0.080001, up_time: 100%
date_time: 02/01/2024 09:01, response_time: 0.097159, up_time: 100%
date_time: 03/01/2024 09:02, response_time: 0.079176, up_time: 100%
date_time: 04/01/2024 09:03, response_time: 0.094472, up_time: 100%
date_time: 05/01/2024 09:03, response_time: 0.082894, up_time: 100%
date_time: 06/01/2024 09:02, response_time: 0.069237, up_time: 100%
date_time: 07/01/2024 09:09, response_time: 0.097135, up_time: 100%
date_time: 08/01/2024 09:04, response_time: 0.052908, up_time: 100%
date_time: 09/01/2024 09:04, response_time: 0.085668, up_time: 100%
date_time: 10/01/2024 09:04, response_time: 0.079261, up_time: 100%
date_time: 11/01/2024 09:04, response_time: 0.091041, up_time: 100%
date_time: 12/01/2024 09:05, response_time: 0.091340, up_time: 100%
date_time: 13/01/2024 09:03, response_time: 0.086363, up_time: 100%
date_time: 14/01/2024 09:09, response_time: 0.087278, up_time: 100%
date_time: 15/01/2024 09:06, response_time: 0.087041, up_time: 100%
date_time: 16/01/2024 09:04, response_time: 0.102456, up_time: 100%
date_time: 17/01/2024 09:04, response_time: 0.093116, up_time: 100%
date_time: 18/01/2024 09:04, response_time: 0.085358, up_time: 100%
date_time: 19/01/2024 09:04, response_time: 0.116044, up_time: 100%
date_time: 20/01/2024 09:03, response_time: 0.108525, up_time: 100%
date_time: 21/01/2024 09:09, response_time: 0.087642, up_time: 100%
date_time: 22/01/2024 09:07, response_time: 0.092963, up_time: 100%
date_time: 23/01/2024 09:05, response_time: 0.098324, up_time: 100%
date_time: 24/01/2024 09:05, response_time: 0.087518, up_time: 100%
date_time: 25/01/2024 09:05, response_time: 0.084295, up_time: 100%
date_time: 26/01/2024 09:01, response_time: 0.102082, up_time: 100%
date_time: 27/01/2024 08:59, response_time: 0.074195, up_time: 100%
date_time: 28/01/2024 09:04, response_time: 0.079733, up_time: 100%
date_time: 29/01/2024 09:00, response_time: 0.083475, up_time: 100%
date_time: 30/01/2024 08:59, response_time: 0.086492, up_time: 100%
date_time: 31/01/2024 09:00, response_time: 0.100873, up_time: 100%
date_time: 01/02/2024 09:03, response_time: 0.091598, up_time: 100%
date_time: 02/02/2024 08:59, response_time: 0.085858, up_time: 100%
date_time: 03/02/2024 08:58, response_time: 0.129412, up_time: 100%
date_time: 04/02/2024 09:04, response_time: 0.076282, up_time: 100%
date_time: 05/02/2024 09:01, response_time: 0.081025, up_time: 100%
date_time: 06/02/2024 08:59, response_time: 0.069868, up_time: 100%
date_time: 07/02/2024 08:58, response_time: 0.081899, up_time: 100%
date_time: 08/02/2024 08:58, response_time: 0.085165, up_time: 100%
date_time: 09/02/2024 08:59, response_time: 0.103046, up_time: 100%
date_time: 10/02/2024 08:57, response_time: 0.077709, up_time: 100%
date_time: 11/02/2024 09:04, response_time: 0.079912, up_time: 100%
date_time: 12/02/2024 09:00, response_time: 0.088514, up_time: 100%
date_time: 13/02/2024 09:00, response_time: 0.082435, up_time: 100%
date_time: 14/02/2024 09:00, response_time: 0.100420, up_time: 100%
date_time: 15/02/2024 08:59, response_time: 0.106592, up_time: 100%
date_time: 16/02/2024 08:59, response_time: 0.077082, up_time: 100%
date_time: 17/02/2024 08:58, response_time: 0.076987, up_time: 100%
date_time: 18/02/2024 09:03, response_time: 0.101289, up_time: 100%
date_time: 19/02/2024 09:00, response_time: 0.063340, up_time: 100%
date_time: 20/02/2024 08:58, response_time: 0.072902, up_time: 100%
date_time: 21/02/2024 08:59, response_time: 0.128731, up_time: 100%
date_time: 22/02/2024 08:59, response_time: 0.095887, up_time: 100%
date_time: 23/02/2024 08:58, response_time: 0.166840, up_time: 100%
date_time: 24/02/2024 08:57, response_time: 0.090066, up_time: 100%
date_time: 25/02/2024 09:03, response_time: 0.064669, up_time: 100%
date_time: 26/02/2024 09:00, response_time: 0.075811, up_time: 100%
date_time: 27/02/2024 08:58, response_time: 0.086722, up_time: 100%
date_time: 28/02/2024 08:58, response_time: 0.080068, up_time: 100%
date_time: 29/02/2024 08:58, response_time: 0.105052, up_time: 100%
date_time: 01/03/2024 09:04, response_time: 0.110550, up_time: 100%
date_time: 02/03/2024 08:57, response_time: 0.091201, up_time: 100%
date_time: 03/03/2024 09:02, response_time: 0.074370, up_time: 100%
date_time: 04/03/2024 09:00, response_time: 0.060185, up_time: 100%
date_time: 05/03/2024 08:59, response_time: 0.069959, up_time: 100%
date_time: 06/03/2024 08:59, response_time: 0.078808, up_time: 100%
date_time: 07/03/2024 08:49, response_time: 0.085777, up_time: 100%
date_time: 08/03/2024 08:59, response_time: 0.104532, up_time: 100%
date_time: 09/03/2024 08:57, response_time: 0.103829, up_time: 100%
date_time: 10/03/2024 09:03, response_time: 0.083673, up_time: 100%
date_time: 11/03/2024 09:00, response_time: 0.096498, up_time: 100%
date_time: 12/03/2024 08:59, response_time: 0.093129, up_time: 100%
date_time: 13/03/2024 09:00, response_time: 0.066550, up_time: 100%
date_time: 14/03/2024 08:59, response_time: 0.250678, up_time: 100%
date_time: 15/03/2024 09:00, response_time: 0.090073, up_time: 100%
date_time: 16/03/2024 08:58, response_time: 0.086880, up_time: 100%
date_time: 17/03/2024 09:03, response_time: 0.081857, up_time: 100%
date_time: 18/03/2024 09:00, response_time: 0.153697, up_time: 100%
date_time: 19/03/2024 08:59, response_time: 0.099733, up_time: 100%
date_time: 20/03/2024 08:59, response_time: 0.104198, up_time: 100%
